rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0019.jpg,7.6,0.4795,0.484,0.125,1.0,2,1,False,False
77,frame_0209.jpg,83.6,0.4751,0.5123,0.25,0.72,3,2,False,False
78,frame_0293.jpg,117.2,0.4733,0.4925,0.25,0.76,4,2,False,False
79,frame_0216.jpg,86.4,0.4724,0.6939,0.125,0.44,2,1,False,False
80,frame_0009.jpg,3.6,0.4683,0.3867,0.25,1.0,2,2,False,False
81,frame_0298.jpg,119.2,0.468,0.4871,0.375,0.56,6,3,False,False
82,frame_0374.jpg,149.6,0.4651,0.6252,0.375,0.2,7,3,False,False
83,frame_0116.jpg,46.4,0.4637,0.5583,0.375,0.36,5,3,False,False
84,frame_0309.jpg,123.6,0.4631,0.6532,0.375,0.12,4,3,False,False
85,frame_0220.jpg,88.0,0.463,0.6639,0.25,0.28,2,2,False,False
86,frame_0108.jpg,43.2,0.4617,0.6074,0.5,0.04,5,4,False,False
87,frame_0275.jpg,110.0,0.4598,0.5396,0.5,0.2,5,4,False,False
88,frame_0089.jpg,35.6,0.4591,0.4581,0.5,0.4,5,4,False,False
89,frame_0378.jpg,151.2,0.4575,0.5079,0.625,0.08,9,5,False,False
90,frame_0195.jpg,78.0,0.4574,0.7119,0.125,0.32,2,1,False,False
91,frame_0286.jpg,114.4,0.4551,0.5043,0.25,0.64,5,2,False,False
92,frame_0075.jpg,30.0,0.4538,0.3736,0.25,0.96,5,2,False,False
93,frame_0028.jpg,11.2,0.4531,0.3563,0.25,1.0,3,2,False,False
94,frame_0121.jpg,48.4,0.4531,0.6073,0.125,0.56,4,1,False,False
95,frame_0276.jpg,110.4,0.4521,0.5081,0.5,0.24,6,4,False,False
96,frame_0113.jpg,45.2,0.4516,0.5073,0.5,0.24,4,4,False,False
97,frame_0320.jpg,128.0,0.4496,0.5783,0.375,0.24,6,3,False,False
98,frame_0397.jpg,158.8,0.4472,0.5144,0.5,0.2,6,4,False,False
99,frame_0185.jpg,74.0,0.4471,0.5622,0.5,0.08,5,4,False,False
100,frame_0124.jpg,49.6,0.4467,0.3965,0.375,0.68,6,3,False,False
101,frame_0307.jpg,122.8,0.4443,0.5086,0.5,0.2,7,4,False,False
102,frame_0096.jpg,38.4,0.4431,0.6132,0.375,0.12,6,3,False,False
103,frame_0281.jpg,112.4,0.4424,0.5588,0.25,0.44,3,2,False,False
104,frame_0132.jpg,52.8,0.4418,0.3335,0.25,1.0,4,2,False,False
105,frame_0288.jpg,115.2,0.4414,0.4448,0.25,0.72,5,2,False,False
106,frame_0280.jpg,112.0,0.4412,0.4974,0.375,0.4,5,3,False,False
107,frame_0175.jpg,70.0,0.4402,0.6184,0.25,0.28,5,2,False,False
108,frame_0329.jpg,131.6,0.4401,0.6233,0.375,0.08,6,3,False,False
109,frame_0184.jpg,73.6,0.4393,0.6216,0.375,0.08,6,3,False,False
110,frame_0112.jpg,44.8,0.4383,0.7215,0.125,0.2,3,1,False,False
111,frame_0167.jpg,66.8,0.4383,0.4116,0.375,0.6,4,3,False,False
